index,Ruch sieciowy
0,117.54087151077059
1,100.7216920712406
2,98.06518282670986
3,95.44196297847353
4,106.0852826350283
5,104.90540833421224
6,100.96854700083716
7,77.9910534820511
8,121.58021762652157
9,107.042872609048
10,112.35816233411776
11,94.09200222675679
12,119.05792810585214
13,94.78373910013039
14,108.37734717129686
15,116.34685282852064
16,88.38388432165263
17,106.68862122394273
18,92.94828468427436
19,92.71363998019822
20,100.42231163233436
21,84.76595688320103
22,111.26318668371782
23,86.49337706459059
24,105.57008903638479
25,98.90777103348958
26,98.45803964129536
27,125.80776463416723
28,101.39838138892355
29,109.78526363084896
30,102.26465814405
31,112.42203643129022
32,104.26299568024379
33,104.49230516142651
34,95.93092746379725
35,91.39173394507725
36,107.51219921244228
37,102.14044937964337
38,112.58676605940025
39,111.36386652640832
40,92.22038619394091
41,102.47600334449909
42,104.78422209760929
43,105.88900246815498
44,110.43175972649894
45,92.70542903960214
46,124.3885110247383
47,97.24015251508985
48,105.8900334384501
49,111.75080988867123
50,82.37085301696679
51,102.02625368972016
52,97.1181942221271
53,90.54413526917747
54,99.09507905309296
55,105.23922116673317
56,96.85633513037455
57,98.23484574459815
58,110.58765468314348
59,98.41317115280776
60,99.20879269930137
61,103.53728767079598
62,108.46593743476917
63,117.12199285583495
64,109.45775625018155
65,91.3151916358977
66,96.97470596646043
67,102.90115305703426
68,112.07972089968177
69,104.40426002089967
70,118.75118895283735
71,110.90708637985058
72,105.19772062799478
73,103.37080080274154
74,105.25870029963309
75,97.87509547723715
76,107.2451201956165
77,104.75117562805451
78,91.66340789780077
79,111.96750849715971
80,111.93051014980128
81,110.36675239642184
82,120.74082785846794
83,93.00522168800626
84,94.00191297309257
85,105.43254375156707
86,101.90611001087916
87,116.05929958218834
88,106.67404577534802
89,85.71359878726611
90,89.84805292828862
91,115.17581144318899
92,111.04978645369911
93,115.07427691214488
94,108.70836717226301
95,120.84351285938784
96,110.15329178112269
97,114.85433108177394
98,95.54502759623189
99,94.83251003009536
100,91.60120907907276
101,95.90500312748182
102,99.6961585910298
103,103.53738752558962
104,112.70351476990038
105,122.61129503037552
106,91.33761054535037
107,123.61453169173173
108,124.66899512466165
109,102.77880294746421
110,109.304704093518
111,105.1647971194852
112,100.19233880409935
113,108.26830815219321
114,108.21947473933159
115,118.29103960191675
116,116.26943037982034
117,96.65052751650066
118,103.68879612825558
119,109.81355780611072
120,107.69166136033112
121,79.7367078321015
122,113.20415819129906
123,103.71217129979135
124,104.31125766872938
125,100.63652984371744
126,91.95963356278222
127,85.58973350879143
128,123.54337906491517
129,118.17162764739882
130,119.70574599124798
131,112.1694192119787
132,110.78054458344153
133,114.18486733756308
134,111.22532280956503
135,101.88420915895313
136,94.50117904846181
137,122.1324198517066
138,114.03062258464988
139,116.74609356367293
140,118.43943854980088
141,125.2588817709428
142,125.27965701073381
143,108.40555146587329
144,120.32063155650297
145,129.12644806295356
