index,Ruch sieciowy
0,95.29247113676635
1,96.41298485789935
2,97.61610085605815
3,112.96590090400369
4,94.79017675359819
5,97.28666030846476
6,81.33747726074986
7,123.12204570774591
8,93.90120266420402
9,93.19489025473571
10,102.1384326215784
11,96.44642974395751
12,124.11929613977495
13,99.37783853450759
14,90.60152783789559
15,94.13072453837177
16,112.404815465485
17,108.86954175860525
18,97.43862029027233
19,114.64032467251207
20,110.58313082884115
21,82.10147459631435
22,108.2488381605813
23,134.09387382433906
24,98.43266383936106
25,96.73774742280797
26,109.25604621843738
27,112.22540598746811
28,84.96279822677138
29,106.2795922542517
30,102.14576681189126
31,111.57198415918491
32,97.5666869354294
33,119.59989088263012
34,97.06983206308496
35,85.74521577094282
36,104.7327129319843
37,109.20044984057245
38,102.8287385437625
39,106.50600143592035
40,115.43391319967452
41,100.89407221684158
42,102.65625400652603
43,98.36792299120033
44,98.36073607436543
45,106.32132756560893
46,98.00022753854427
47,90.72482651030506
48,120.76106237613757
49,93.1735502608776
50,133.96598442974798
51,92.1190131444155
52,90.96579854268663
53,104.97109630440613
54,108.80157910872059
55,92.15598257974497
56,108.32794194576184
57,113.8696713395361
58,119.0613168730221
59,95.39270931098721
60,108.21847954712123
61,98.25244283937303
62,106.98179630452137
63,87.39820978560016
64,105.34029746782056
65,105.96155924197635
66,101.64163182808795
67,93.36662232515101
68,96.06238803970945
69,115.87038647904456
70,111.82826583162816
71,104.77837164682921
72,113.02528376546294
73,106.72303490123352
74,110.60102461136746
75,107.58845911595463
76,124.06049359559921
77,120.96475359859835
78,97.80659496571505
79,111.10437040644962
80,111.99601919294771
81,112.59980706017265
82,104.11487014083337
83,103.15060415435694
84,120.84936681787443
85,100.12514548746164
86,101.70798675450672
87,88.07079774187706
88,95.92694997443748
89,83.12105667063165
90,106.494509257044
91,119.83154539747605
92,98.22268175409974
93,87.52334424194412
94,92.87874908293277
95,87.3921887299554
96,97.67594749618164
97,86.6991709524422
98,104.35175228501842
99,95.08322986006561
100,114.1490682113958
101,108.74842109034404
102,118.67013292466554
