symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2016-06-14 00:00:00+00:00,712.3196820753694,716.9074452392192,706.6361186375431,709.6148622102779,1305420.5158762156,717.5096163113051,728.6474120901524,718.5196701325132,717.8547758280762,1314455.5840802572,0.0,1.0
GOOG,2016-06-14 00:00:00+00:00,717.551548956942,720.6643179500111,715.3297740971025,720.3304795401463,1298808.4899665264,713.7173550817529,717.5358279755168,712.6951122630437,710.3595978096737,1300487.0281066385,0.0,1.0
GOOG,2016-06-14 00:00:00+00:00,712.6366495611223,720.5334677522819,715.3261527762053,713.7342357346415,1298953.1123636959,725.1118942883239,726.3358306297516,710.512948739433,711.9880508090934,1295519.3677025673,0.0,1.0
GOOG,2016-06-15 00:00:00+00:00,713.6617464404401,722.3157094092517,721.6338552129722,718.9810558304689,1210449.639070968,720.7436762511488,717.2487327607975,712.6993112820209,721.2438224356821,1217490.2834012136,0.0,1.0
GOOG,2016-06-15 00:00:00+00:00,724.4782863113613,715.9339134764027,721.5555734972805,712.3967261668402,1225799.3019480195,725.7194015191982,728.3221552422491,712.4613873368679,715.6476317198859,1202839.0935924975,0.0,1.0
GOOG,2016-06-15 00:00:00+00:00,722.4498856350152,721.9409536459534,719.5654311028942,714.8814369445759,1224359.6716721584,724.1220831833372,715.8961158021375,718.5560461455901,713.5477927871262,1206847.6869722314,0.0,1.0
GOOG,2016-06-16 00:00:00+00:00,712.3830380896192,714.8389860166675,697.573996843212,716.1657266452817,1992687.9342431894,705.9109162733578,716.9697603516756,698.0472322594499,717.5664226743343,1986488.9370077425,0.0,1.0
GOOG,2016-06-16 00:00:00+00:00,710.1427353015065,722.5451813194499,701.1013494097956,714.9038208897302,1962711.890059767,708.8877953991692,711.7064533140745,702.6098287196004,708.5116790218163,1986102.5178629083,0.0,1.0
GOOG,2016-06-16 00:00:00+00:00,709.327309315552,711.3636469953053,706.6134327204862,712.0179234270056,1968309.7133507978,704.787056295471,709.7914053399621,698.9532558212509,712.6124995607231,1973391.1382912244,0.0,1.0
GOOG,2016-06-17 00:00:00+00:00,691.2092743421053,703.6521155993067,689.1655356663659,709.3130459343532,3404492.048335965,696.5204623453334,711.1464894503355,690.9329408564776,714.7220697960075,3396341.5098193553,0.0,1.0
GOOG,2016-06-17 00:00:00+00:00,693.4415008405318,704.7524125229792,683.5123164240389,702.7367271539728,3403956.088584897,692.91037598933,705.2057112352046,687.9401122148636,708.654267386896,3401303.4526101304,0.0,1.0
GOOG,2016-06-17 00:00:00+00:00,694.4879255990134,709.4525469829485,682.2381234713872,714.4295461221783,3429391.122302806,692.559860071209,704.6729026868377,691.8458212015682,702.5036811439186,3396692.766465653,0.0,1.0
GOOG,2016-06-20 00:00:00+00:00,691.6576348579911,709.0688292765976,695.2911515024347,704.7033814974423,2086702.0694306972,689.7844111395631,698.2037497361113,694.2525939286984,705.0897015992792,2064613.2364011102,0.0,1.0
GOOG,2016-06-20 00:00:00+00:00,689.9999167453664,697.5617031191068,686.9367114831688,704.53605249603,2065241.1251858256,699.2499313359675,708.6462737364676,688.5896600052857,699.162091606234,2098978.7124507315,0.0,1.0
GOOG,2016-06-20 00:00:00+00:00,693.0620563089816,700.9071213336719,690.0930134227859,696.2041349313807,2093456.7976611084,698.159735458247,704.8964292197564,695.54741846533,698.583148727826,2063893.1536953545,0.0,1.0
GOOG,2016-06-21 00:00:00+00:00,694.4936464378382,698.1349678830793,691.5324849728044,695.2916674493476,1462485.9724806366,692.2009111228779,708.2390494832263,696.2146697711739,704.281155248025,1470563.7605828545,0.0,1.0
GOOG,2016-06-21 00:00:00+00:00,699.0127988995714,706.7233434776101,687.8571143783895,697.9540583651606,1453216.2566187368,697.0604507363076,698.637163001057,696.6305732051211,704.1322782666723,1467637.3593475146,0.0,1.0
GOOG,2016-06-21 00:00:00+00:00,698.649820329196,699.9939803984951,694.7337937174386,697.5541638187493,1475348.5741224743,697.7877536195887,701.8949667618097,693.2629308227135,699.876750783039,1462409.3471858131,0.0,1.0
GOOG,2016-06-22 00:00:00+00:00,701.3280692990104,706.2542515083776,697.4734513262728,700.5194274365142,1190634.0375485015,691.763258211293,701.4729736136447,690.5108235901475,693.0931420757651,1191053.6121611057,0.0,1.0
GOOG,2016-06-22 00:00:00+00:00,701.8203233259508,706.6354697618641,693.2058296529958,695.4170835077679,1181525.6602270713,702.7177261911417,697.5607086836466,688.4510319569836,693.5388117153965,1181998.9695159,0.0,1.0
GOOG,2016-06-22 00:00:00+00:00,696.6332883132325,695.0807594690299,691.8744419626476,698.2949850745719,1187808.4261283167,703.604891940981,697.6269317652233,687.2112689800437,696.4556054166909,1186414.9355355531,0.0,1.0
GOOG,2016-06-23 00:00:00+00:00,698.1041105654915,706.2690337231743,680.2464694837892,703.263520061987,2155298.134044885,703.7616556068598,702.7971831767302,683.3210391418091,700.6811163111314,2160724.944921717,0.0,1.0
GOOG,2016-06-23 00:00:00+00:00,708.213127600676,706.4413704896656,690.3711714924214,693.8148815361409,2182320.676310692,701.2615841628481,695.7207881523194,685.8007842731295,701.9032317320471,2187225.1171036866,0.0,1.0
GOOG,2016-06-23 00:00:00+00:00,708.7254473931231,699.7234434209399,681.0884402441151,696.4772747621064,2176303.546733883,702.1795629256634,705.4584400082706,683.3218697945226,698.3599694672379,2160010.421974933,0.0,1.0
GOOG,2016-06-24 00:00:00+00:00,680.6939129242373,683.5342406849719,668.8160052534525,680.6444580958465,4450024.420390959,680.3729762994641,691.7511698890952,677.3394322949761,679.0918131176458,4468972.458154981,0.0,1.0
GOOG,2016-06-24 00:00:00+00:00,678.8388480729271,692.8583585479424,671.2837238805745,681.9014328740892,4408151.697513111,678.0174507522976,682.5716252480719,677.966644841192,671.8190493269597,4460426.342280962,0.0,1.0
GOOG,2016-06-24 00:00:00+00:00,675.4539539050778,694.6745338421994,672.9152672754849,677.1431601281711,4467301.627378373,673.1494978173488,695.5585066774237,673.0399894052439,674.3627949283256,4416565.38774788,0.0,1.0
GOOG,2016-06-27 00:00:00+00:00,673.0564669655693,666.8772622066939,660.8199123291162,673.178013811992,2662179.8758677626,674.7910293547387,668.6128246112144,664.4290868095851,674.6565180226783,2614792.145750714,0.0,1.0
GOOG,2016-06-27 00:00:00+00:00,671.9332170120415,667.8420571088166,661.1199885931537,664.6258090837788,2640723.0303221866,661.7024093948082,677.4062884123181,663.6359492117148,670.9010568410268,2657943.514126299,0.0,1.0
GOOG,2016-06-27 00:00:00+00:00,672.6865429365836,671.7430602988193,661.9982830227814,668.1524775384189,2664375.557794719,665.8131540145065,675.0123446123831,666.5991978006397,677.658680527568,2633194.9231828023,0.0,1.0
GOOG,2016-06-28 00:00:00+00:00,686.2756941834864,681.2994690506262,677.6084176538276,682.8910668817526,2176254.900713632,675.5829880212793,676.2783490445266,669.3057327860881,680.12516358225,2174966.7924668584,0.0,1.0
GOOG,2016-06-28 00:00:00+00:00,681.5366078540924,674.6510353136381,672.0703412871799,676.8022054280854,2154480.8585025016,682.8811546522459,682.762209939834,671.5043057327523,674.0932686248478,2171751.323573602,0.0,1.0
GOOG,2016-06-28 00:00:00+00:00,680.6884450800683,684.0409612839329,678.3153824637126,673.161912524589,2165576.6887924387,678.7025696484873,682.067626857682,671.5356257656914,685.1850023417256,2156318.4374368424,0.0,1.0
GOOG,2016-06-29 00:00:00+00:00,686.6522312326534,693.758713625927,683.3445263228975,688.698362817722,1913948.8540099768,690.2344690696829,687.0834646220989,684.2040677169452,683.1283433037755,1931856.1067392924,0.0,1.0
GOOG,2016-06-29 00:00:00+00:00,678.6887136784937,681.9333959593126,678.3816345456524,689.5202381768056,1917799.234698779,690.7456497451483,687.7502427062273,686.9502024917962,678.1533365147732,1940567.2329814301,0.0,1.0
GOOG,2016-06-29 00:00:00+00:00,683.6646902363732,691.7061192230202,677.9126165799181,685.2882203091308,1947236.3258910207,686.3860355183294,687.2759966239232,682.9429531113711,683.9218989158297,1942854.9148092216,0.0,1.0
GOOG,2016-06-30 00:00:00+00:00,697.3788014298923,697.1930967499451,686.0095495804892,683.892596507097,1604139.1367012833,691.0443443597528,691.0633587448064,680.3286050365541,682.8445095909861,1601176.9483457766,0.0,1.0
GOOG,2016-06-30 00:00:00+00:00,694.6102691492868,693.3259123037933,688.4465531356911,681.1681153493489,1601093.4617122347,686.0443250699742,693.686569065862,680.1891869722338,686.8962832551117,1587515.6541967748,0.0,1.0
GOOG,2016-06-30 00:00:00+00:00,686.1737178324014,693.922320742143,687.0838122070176,689.6993985043199,1592153.4235227508,686.6868349743777,697.9502913466738,685.7819336057835,683.5092366469845,1605968.4711386587,0.0,1.0
GOOG,2016-07-01 00:00:00+00:00,704.6112677495006,694.5096655481814,691.103132877833,690.6548097841057,1350973.7569114382,703.8050320898109,697.4882169709961,696.2222893762846,691.3194065652099,1333178.3782394214,0.0,1.0
GOOG,2016-07-01 00:00:00+00:00,699.0761720997898,695.2305620747557,692.7138127768092,695.6807347470331,1349077.0523490622,704.6910120389573,707.5643445394521,688.2472302884619,688.7486683458816,1339330.2744219187,0.0,1.0
